strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_original,max_dd_delta_pp_vs_original,sharpe_delta_vs_original,keeps_original_cagr,improves_original_drawdown,improves_original_sharpe
Lead 0.75 X45.00% Y75.00%,0.0075,0.45,0.75,0.44892799050367715,0.31791087312726446,3.1955335066635167,-0.3618624818933771,6697873.739524668,767,6746112.905794669,737065.5957801472,5,3,751,1622,29.283158871074598,12.389028753146945,13.303299324234796,45.02451305154366,15.502080973045572,-1.81473587403031,-0.03693687594192063,True,False,False
Lead 0.75 X30.00% Y80.00%,0.0075,0.3,0.8,0.4443364481474874,0.31585879023685637,3.1924886898679454,-0.36078043037910323,6089665.687430597,782,5911416.141222841,669563.2200121441,5,3,751,1553,29.746919305684376,14.694580628064132,9.3149595865907,46.243540479660794,15.042926737426598,-1.7065307226029225,-0.03998169273749186,True,False,False
Lead 0.75 X40.00% Y75.00%,0.0075,0.4,0.75,0.4441554535019907,0.31693404349037985,3.1825136137038714,-0.3615812830636155,6066818.948197946,769,6118039.065062138,667635.3357175267,5,3,751,1596,29.389161256128265,12.958791572810387,12.627534119517689,45.02451305154366,15.024827272876928,-1.7866159910541468,-0.04995676890156586,True,False,False
Lead 0.75 X25.00% Y80.00%,0.0075,0.25,0.8,0.4375677152281674,0.31524889668642125,3.18019762622573,-0.3605640363421126,5289390.2881654855,790,5152550.253532645,581334.3816370388,5,3,751,1543,30.104677355240494,16.099112230025174,7.5526699350735385,46.243540479660794,14.366053445494597,-1.6848913189038583,-0.052272756379707186,True,False,False
Lead 0.75 X50.00% Y70.00%,0.0075,0.5,0.7,0.44931977649363963,0.3181913914605689,3.1786922350200624,-0.3618685094442792,6752407.385409122,765,6806566.595512834,740672.2347913486,4,3,751,1638,29.322909765469724,12.508281436332316,14.787332714986087,43.38147608321187,15.54125957204182,-1.8153386291205165,-0.053778147585374914,True,False,False
Lead 0.75 X50.00% Y60.00%,0.0075,0.5,0.6,0.4450634419022419,0.31525498602627705,3.1772714203118264,-0.3618685094442792,6182274.041184306,775,6139993.624046432,655218.5476584253,5,3,751,1628,29.283158871074598,13.064793957864051,17.87465217967404,39.777394991387304,15.115626112902047,-1.8153386291205165,-0.055198962293610876,True,False,False
Lead 0.75 X60.00% Y70.00%,0.0075,0.6,0.7,0.44296477825754454,0.3190408805769003,3.1764246188506204,-0.3618685094442792,5918573.70940419,765,6017547.358176449,650551.8718795642,3,3,751,1696,29.071154100967274,11.739764144693256,15.8076056711276,43.38147608321187,14.905759748432313,-1.8153386291205165,-0.056045763754816846,True,False,False
Lead 0.75 X60.00% Y60.00%,0.0075,0.6,0.6,0.43872720495441153,0.3161126090192144,3.174904862303033,-0.3618685094442792,5418855.425794791,775,5428891.137626985,575495.8562451222,4,3,751,1686,29.031403206572147,12.296276666224989,18.894925135815555,39.777394991387304,14.482002418119011,-1.8153386291205165,-0.05756552030240414,True,False,False
Lead 0.75 X35.00% Y75.00%,0.0075,0.35,0.75,0.43551299292659373,0.3152927808191338,3.1741758482596154,-0.3609348253076645,5067273.783704376,779,5120313.544058823,557579.760685258,5,3,751,1566,29.614416324367298,14.403074069166555,10.957996554922486,45.02451305154366,14.160581215337231,-1.721970215459051,-0.05829453434582188,True,False,False
Lead 0.75 X20.00% Y80.00%,0.0075,0.2,0.8,0.4356137166041041,0.31412065202531314,3.171607337031834,-0.3607947981933179,5077948.658389314,790,4965835.339994285,558019.6375637106,5,3,751,1532,30.23718033655757,17.212137273088647,6.30714191069299,46.243540479660794,14.170653583088267,-1.707967504024388,-0.06086304557360345,True,False,False
