name,fast,slow,signal,hist_pct,confirm_days,req_sma200,exit_sma200,final,full_return,full_max_dd,crash_return,crash_max_dd,y2008_return,bh_crash_return,crash_vs_bh,avg_leverage,rebalances,trading_costs
MACD 8/39/5 3x,8,39,5,0.2,1,False,False,58675.97130450626,585.7597130450627,-0.6267108133775836,-0.5268728075746508,-0.6267108133775836,-0.466088811772266,-0.37595493994012186,-0.15091786763452897,1.1592474827768946,88,7004.8590645486365
MACD 8/39/5 3x,8,39,5,0.2,1,True,False,22056.84024827361,219.5684024827361,-0.4857631397702349,-0.37595493994012097,-0.4857631397702349,-0.3758465002718232,-0.37595493994012186,8.881784197001252e-16,1.0310015898251192,22,798.500644377616
MACD 8/39/5 3x,8,39,5,0.2,1,True,True,22056.84024827361,219.5684024827361,-0.4857631397702349,-0.37595493994012097,-0.4857631397702349,-0.3758465002718232,-0.37595493994012186,8.881784197001252e-16,1.0310015898251192,22,798.500644377616
MACD 8/39/5 3x,8,39,5,0.2,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.2,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.2,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.0,1,False,False,5692.3605156564645,55.92360515656465,-0.7763007366131754,-0.5650459868053821,-0.6936363535710169,-0.49326886933766023,-0.37595493994012186,-0.18909104686526024,2.0278219395866453,691,15984.337565948967
MACD 8/39/9 3x,8,39,9,0.0,1,True,False,1756.186617914193,16.56186617914193,-0.5790150631846918,-0.4180507942669144,-0.5222057389882597,-0.3758465002718224,-0.37595493994012186,-0.042095854326792526,1.6931637519872813,514,7614.772852154098
MACD 8/39/9 3x,8,39,9,0.0,1,True,True,1178.1164614070603,10.781164614070603,-0.7064495084857088,-0.39044329141137124,-0.48912501007926634,-0.3758465002718234,-0.37595493994012186,-0.014488351471249383,1.6589825119236883,514,5148.590169231466
MACD 8/39/9 3x,8,39,9,0.0,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.0,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.0,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.05,1,False,False,38057.63323063367,379.5763323063367,-0.6662078596572997,-0.5212273583866576,-0.6069161737163611,-0.4002963489425061,-0.37595493994012186,-0.1452724184465357,1.719660837307896,413,37058.70954232009
MACD 8/39/9 3x,8,39,9,0.05,1,True,False,12748.166161235857,126.48166161235856,-0.522205738988261,-0.41805079426691616,-0.522205738988261,-0.37584650027182387,-0.37595493994012186,-0.0420958543267943,1.4446210916799151,272,17512.62123060364
MACD 8/39/9 3x,8,39,9,0.05,1,True,True,8760.241639472251,86.60241639472251,-0.5216946067235694,-0.3904432914113709,-0.4891250100792662,-0.37584650027182354,-0.37595493994012186,-0.01448835147124905,1.415739268680445,272,12127.665231852337
MACD 8/39/9 3x,8,39,9,0.05,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.05,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.05,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.1,1,False,False,122498.1550575256,1223.981550575256,-0.5928953478572473,-0.5041501158614845,-0.5928953478572473,-0.3789056432041211,-0.37595493994012186,-0.12819517592136265,1.5211976682564918,255,56665.64671592573
MACD 8/39/9 3x,8,39,9,0.1,1,True,False,29537.684689350877,294.3768468935088,-0.522205738988261,-0.41805079426691594,-0.522205738988261,-0.37584650027182387,-0.37595493994012186,-0.04209585432679408,1.2811340752517224,148,15817.052833573394
MACD 8/39/9 3x,8,39,9,0.1,1,True,True,22581.307746451148,224.81307746451148,-0.493246809095482,-0.3904432914113709,-0.4891250100792661,-0.3758465002718234,-0.37595493994012186,-0.01448835147124905,1.2580816110227875,148,12142.220067363392
MACD 8/39/9 3x,8,39,9,0.1,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.1,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.1,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.2,1,False,False,76313.53555095021,762.1353555095021,-0.5991382105596663,-0.5117538677011998,-0.5991382105596663,-0.3884299922242451,-0.37595493994012186,-0.13579892776107794,1.2225755166931638,96,13828.013862761043
MACD 8/39/9 3x,8,39,9,0.2,1,True,False,30524.881444532934,304.24881444532934,-0.5222057389882607,-0.41805079426691594,-0.5222057389882607,-0.3758465002718234,-0.37595493994012186,-0.04209585432679408,1.078961314255432,34,3273.7828089667937
MACD 8/39/9 3x,8,39,9,0.2,1,True,True,28678.066669412532,285.78066669412533,-0.4932468090954814,-0.39044329141137013,-0.4891250100792655,-0.3758465002718232,-0.37595493994012186,-0.014488351471248273,1.0694223635400106,34,3077.30099573754
MACD 8/39/9 3x,8,39,9,0.2,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.2,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/9 3x,8,39,9,0.2,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 12/21/5 3x,12,21,5,0.0,1,False,False,13421.652556455188,133.2165255645519,-0.7256070988657043,-0.41579020126301647,-0.6394247069505283,-0.4500943207551379,-0.37595493994012186,-0.03983526132289461,2.001589825119237,827,33818.86994826793
MACD 12/21/5 3x,12,21,5,0.0,1,True,False,2147.7735335783586,20.477735335783585,-0.6863307738336314,-0.4168715195580276,-0.5112747470894741,-0.37584650027182354,-0.37595493994012186,-0.040916579617905735,1.6613672496025438,607,8120.43872998551
MACD 12/21/5 3x,12,21,5,0.0,1,True,True,1966.7133927067514,18.667133927067514,-0.6843251947149344,-0.40091037847337596,-0.49789757040377264,-0.3758465002718233,-0.37595493994012186,-0.024955438533254104,1.6499735029146794,607,7259.3676769349395
MACD 12/21/5 3x,12,21,5,0.0,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 12/21/5 3x,12,21,5,0.0,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 12/21/5 3x,12,21,5,0.0,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
