Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-decay conv SMA50 e3% N20 d1% SL2.0% 2x,B-decay,2,4.098907600764812,12.602915511971311,0.3073806086669689,0.21185496482352242,0.05824402114458643,-70.37473581347655,2157.3915649865044,23.233435352233677,1777,72.8992360858494,2.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% SL2.0% 3x,B-decay,3,2.6223486384266526,18.927156288345866,0.29417759557303613,0.20254534021284465,0.02818983152261703,-93.02462969041555,723.4383327234631,23.233435352233677,1777,72.8992360858494,3.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d2% 1x,B-decay,1,5.598836681327701,6.953367487186338,0.23065640846028204,0.17312332418051668,0.2013844848886077,-27.801728044862045,6443.5450381614755,13.97666988831615,1069,67.80127838694591,1.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% 2x,B-decay,2,5.160194243921223,13.843137504619172,0.24796201910479032,0.18596641865463748,0.07783587594124428,-66.29583314275904,4686.617498933144,13.97666988831615,1069,67.80127838694591,2.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% 3x,B-decay,3,4.084630604600337,20.79892682861093,0.23881199314554608,0.17901546404596635,0.04469718815014858,-91.38450926441016,2134.877835421999,13.97666988831615,1069,67.80127838694591,3.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL1.0% 1x,B-decay,1,5.49809258322469,6.527262708517744,0.2145286793629588,0.15028054329533616,0.18894049777056224,-29.099598276179183,5989.905823064546,13.97666988831615,1069,71.16353998856727,1.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL1.0% 2x,B-decay,2,5.008490232774543,12.989806142762097,0.233958566748828,0.16372556512720038,0.07332717195109884,-68.30333285067445,4196.684558819343,13.97666988831615,1069,71.16353998856727,2.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL1.0% 3x,B-decay,3,3.9052128457189195,19.516272962749067,0.22383541177472482,0.15666892464127116,0.04270316892799997,-91.45018844627984,1870.964277461928,13.97666988831615,1069,71.16353998856727,3.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL2.0% 1x,B-decay,1,5.582740515864715,6.943534179401022,0.22860414984435917,0.17150131906105925,0.20080552211920671,-27.801728044862045,6368.854438144953,13.97666988831615,1069,67.81686847165203,1.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL2.0% 2x,B-decay,2,5.131268470036177,13.826056444347353,0.2459834270570987,0.18438097343897886,0.07654048642307588,-67.03992501005548,4589.036365817479,13.97666988831615,1069,67.81686847165203,2.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.02,Neither
B-decay conv SMA50 e3% N20 d2% SL2.0% 3x,B-decay,3,4.0462293366068325,20.769302926315277,0.23679726002009302,0.1774184949450395,0.04414318192464972,-91.66147885563734,2075.466154418554,13.97666988831615,1069,67.81686847165203,3.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.02,Neither
B-decay conv SMA100 e1% N5 d1% 1x,B-decay,1,4.826020259261732,8.743605103799966,0.4138023009477059,0.4029528213871505,0.07020167814625453,-68.74508397373994,3673.975494592147,39.98190506872852,3058,45.393129969339505,1.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% 2x,B-decay,2,3.557881939492069,17.421594801857005,0.4356854390673776,0.42439410859713134,0.03875077719119383,-91.81446663476474,1448.2493597237183,39.98190506872852,3058,45.393129969339505,2.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% 3x,B-decay,3,1.6285054430458912,26.14694710541301,0.42274914230089256,0.4114805600842225,0.016513164331932756,-98.6186178682136,343.6735971150803,39.98190506872852,3058,45.393129969339505,3.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% SL1.0% 1x,B-decay,1,4.8294246802863094,8.733184190145435,0.41486834976321035,0.40336723252198714,0.06949573858070268,-69.49238584863858,3683.112773019288,39.98190506872852,3058,45.52304734189056,1.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.01,Neither
